,price,Style,Screen Size,Bluetooth,SpO2,Heart Rate monitor,Alarm clock,Distance tracker,sleep monitor,Activity tracker,Notifications,gps,bp monitor,Target Audience,Black,Blue,Gold,Green,Grey,Pink,Red,Rose Gold,Rose Golden,Silver,Round,Square
42,1999,0,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,0,0,0,1,0,0,0
43,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
44,3799,0,1.78,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
45,1399,0,1.83,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
46,2998,0,1.8,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
47,1999,0,1.28,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
48,1299,0,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
49,1999,0,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
50,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
51,2999,0,1.8,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",0,1,0,0,0,0,0,0,0,0,0,0
52,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
53,1799,0,1.3,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
54,1799,0,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
55,1299,1,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
56,2299,0,1.69,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
