,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
154,1999.0,Modern,142,13,317,,419
155,1999.0,ColorFit Ultra Buzz,142,7,317,,419
156,1999.0,ColorFit Pulse Grand,32,186,317,,419
157,1499.0,ColorFit Pro 2,4,35,317,,419
158,1499.0,ColorFit Pro 2,17,4,317,,419
159,1999.0,ColorFit Pulse Grand,3,186,317,,419
160,1999.0,Modern,30,13,317,,419
161,3499.0,Modern,2,186,39,,419
162,2499.0,Modern,3,186,317,,419
163,2999.0,Modern,142,1,317,,419
164,1999.0,ColorFit Ultra Buzz,142,7,317,,419
165,1999.0,ColorFit Pulse Grand,32,186,317,,419
166,1499.0,ColorFit Pro 2,4,35,317,,419
167,1499.0,ColorFit Pro 2,17,4,317,,419
168,1999.0,ColorFit Pulse Grand,3,186,317,,419
169,2999.0,ColorFit Pro 4,142,4,317,,419
170,1999.0,Modern,30,13,317,,419
171,1799.0,ColorFit Pulse 2,32,18,317,,419
172,3499.0,Modern,2,186,39,,4
173,1799.0,Modern,142,186,11,,419
174,1299.0,ColorFit Pulse Grand,142,186,11,,419
175,1799.0,Strap,30,186,11,,419
176,1799.0,Strap,32,186,11,,419
177,1799.0,Strap,24,186,11,,419
178,1899.0,ColorFit Pulse,17,9,11,,419
179,1999.0,ColorFit Pulse Grand,30,186,11,,419
180,1999.0,Modern,24,13,11,,419
181,1999.0,Modern,17,5,11,,419
182,1799.0,Strap,14,186,11,,419
183,3499.0,Modern,17,186,39,,4
184,11472.78459409594,NoiseFit Agile 2 Buzz,142,13,317,,419
185,2499.0,Modern,3,186,317,,419
186,1999.0,Modern,17,5,317,,419
187,1799.0,Strap,30,186,317,,419
188,1799.0,ColorFit Pulse 2,32,18,317,,419
189,1799.0,Modern,142,186,317,,419
190,1299.0,ColorFit Pulse Grand,142,186,317,,419
191,1799.0,Strap,32,186,317,,419
192,1799.0,Strap,24,186,317,,419
193,1899.0,ColorFit Pulse,17,9,317,,419
194,1999.0,ColorFit Pulse Grand,30,186,317,,419
195,1999.0,Modern,24,13,317,,419
196,3499.0,ColorFit Ultra 2 Buzz,142,27,317,,419
197,1999.0,ColorFit Pulse Buzz,30,186,39,,419
198,1999.0,Modern,142,13,39,,419
199,1999.0,ColorFit Ultra Buzz,142,7,39,,419
200,1999.0,ColorFit Pulse Grand,32,186,39,,419
201,11472.78459409594,NoiseFit Agile 2 Buzz,142,13,317,,419
202,1999.0,Modern,24,13,317,,419
203,1999.0,Modern,17,5,317,,419
204,1799.0,Strap,30,186,317,,419
205,1799.0,ColorFit Pulse 2,32,18,317,,419
206,1799.0,Modern,142,186,317,,419
207,1299.0,ColorFit Pulse Grand,142,186,317,,419
208,1799.0,Strap,32,186,317,,419
209,1799.0,Strap,24,186,317,,419
210,1899.0,ColorFit Pulse,17,9,317,,419
211,1999.0,ColorFit Pulse Grand,30,186,317,,419
212,2999.0,ColorFit Pro 4,142,4,317,,419
213,1799.0,Strap,14,186,317,,419
214,3499.0,Modern,17,186,39,,419
215,1999.0,ColorFit Pulse Buzz,30,186,39,,419
216,1999.0,Modern,142,13,39,,419
217,1999.0,ColorFit Ultra Buzz,142,7,39,,419
218,1999.0,ColorFit Pulse Grand,32,186,39,,419
219,1499.0,ColorFit Pro 2,4,35,39,,419
220,1499.0,ColorFit Pro 2,17,4,39,,419
221,1999.0,ColorFit Pulse Grand,3,186,39,,419
222,2999.0,ColorFit Pro 4,142,4,39,,419
223,1999.0,Modern,30,13,39,,419
224,1799.0,ColorFit Pulse 2,32,18,11,,419
225,1799.0,Modern,142,186,317,,419
226,1299.0,ColorFit Pulse Grand,142,186,317,,419
227,1799.0,Strap,30,186,317,,419
228,1799.0,Strap,32,186,317,,419
229,1799.0,Strap,24,186,317,,419
230,1899.0,ColorFit Pulse,17,9,317,,419
231,1999.0,ColorFit Pulse Grand,30,186,317,,419
232,1999.0,Modern,24,13,317,,419
233,1999.0,Modern,17,5,317,,419
234,3499.0,ColorFit Ultra 2 Buzz,142,27,317,,419
235,1499.0,ColorFit Pro 2,4,35,39,,419
236,1499.0,ColorFit Pro 2,17,4,39,,419
237,1799.0,ColorFit Pulse 2,32,18,39,,419
238,2499.0,NoiseFit Agile 2 Buzz,142,13,317,,419
239,1499.0,Modern,10,186,317,,419
240,1999.0,Modern,4,186,317,,419
241,1499.0,Boat Watch,10,186,317,,419
242,2699.0,Modern,2,2,12,,419
243,1499.0,Modern,2,35,2,,419
244,1499.0,Modern,9,186,317,,419
245,1799.0,Modern,2,186,317,,419
