,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
64,1799.0,Modern,Grey,1.83 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
65,1799.0,Modern,Black,1.83 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
66,1449.0,Modern,Black,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
67,1299.0,Modern,Black,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
68,1799.0,Modern,Pink,1.83 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
69,1299.0,Modern,Green,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
70,1999.0,Modern,Black,1.28 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
71,2999.0,Modern,Black,1.96 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
72,1799.0,Modern,Silver Grey,1.3 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
73,3799.0,Modern,Silver,1.78 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
74,1799.0,Modern,Navy Blue,1.83 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
75,1799.0,Modern,Rose Gold,1.3 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
76,4999.0,Modern,Black,1.6 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
77,11472.784594095941,Modern,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
78,3799.0,Modern,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
79,2499.0,Strap,Black,1.7 ,SpO2,"Unisex Teen, Unisex Adult",sqaure
80,1999.0,Modern,Rose Golden,1.69 ,SpO2,"Unisex Teen, Unisex Adult",sqaure
81,1799.0,Modern,Grey,1.83 ,SpO2,"Unisex Teen, Unisex Adult",sqaure
82,3799.0,Modern,Dark Grey,1.78 ,SpO2,"Unisex Teen, Unisex Adult",sqaure
83,1399.0,Modern,Black,1.83 ,SpO2,"Unisex Teen, Unisex Adult",sqaure
84,2998.0,Modern,Black,1.8 ,SpO2,"Unisex Teen, Unisex Adult",sqaure
85,1999.0,Modern,Silver Grey,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
86,1299.0,Modern,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
87,1999.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
88,1799.0,Modern,Gold Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
89,2999.0,Modern,Black,1.96 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
90,2999.0,Modern,Navy,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
91,1449.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
92,1799.0,Modern,Black,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
93,1799.0,Modern,Grey,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
94,1799.0,Modern,Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
95,1299.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
96,1799.0,Modern,Pink,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
97,1299.0,Modern,Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
98,1999.0,Modern,Black,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
99,1799.0,Modern,Silver Grey,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
100,3799.0,Modern,Silver,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
